date,equity,cash,return_pct
2026-06-12,199388.08,7335.38,-0.3060
2026-06-15,198762.78,7335.38,-0.6186
2026-06-16,199103.23,7335.38,-0.4484
2026-06-17,200748.63,7335.38,0.3743
2026-06-18,202600.13,7335.38,1.3001
2026-06-19,203168.18,7335.38,1.5841
2026-06-22,203394.83,7335.38,1.6974
2026-06-23,201997.98,7335.38,0.9990
2026-06-24,201085.73,7335.38,0.5429
2026-06-25,199405.03,7335.38,-0.2975
2026-06-29,200973.68,7335.38,0.4868
2026-06-30,200596.03,7335.38,0.2980
2026-07-01,202130.58,7335.38,1.0653
2026-07-02,202861.53,7335.38,1.4308
2026-07-03,204391.93,7335.38,2.1960
2026-07-06,205499.73,7335.38,2.7499
2026-07-07,203899.08,7335.38,1.9495
2026-07-08,200560.28,7335.38,0.2801
2026-07-09,201447.68,7335.38,0.7238
2026-07-10,202359.03,7335.38,1.1795
2026-07-13,201871.73,7335.38,0.9359
2026-07-14,202179.33,7335.38,1.0897
2026-07-15,202569.03,7335.38,1.2845
2026-07-16,201828.03,7335.38,0.9140
2026-07-17,201557.73,7335.38,0.7789
2026-07-20,202913.73,7335.38,1.4569
2026-07-21,203467.83,7335.38,1.7339
